"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"1067834914421317634","","","2018-11-28 17:37:37 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @hackNY: @WilliamBarrHeld @kevjcl @dinhkellie LEFT CART WILL PROSPER","1067826343046512640","120550147","2018-11-28 17:03:34 +0000",""
"1067813295665684485","1067806657391017991","866499259943792640","2018-11-28 16:11:43 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@cyb3rbuIly samesies","","","",""
"1067664435043545088","1067632420973772800","4645866625","2018-11-28 06:20:12 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@kobexamoh @nikhilrsethi If you decide to make one I'll sign up!!","","","",""
"1067663909316947968","","","2018-11-28 06:18:06 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","First time having lamb halal from left cart outside Pally @kevjcl https://t.co/TIucEF7rVO","","","","https://twitter.com/nicole_cliffe/status/1067538892323094528"
"1067663283774242816","1067630500800475136","4645866625","2018-11-28 06:15:37 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@kobexamoh @songofstephen all of these r GOOD recs and I would like to add your best american girl and i don't smoke and washing machine heart // blue light","","","",""
"1067584113849319425","1067578916737638400","990771135825481728","2018-11-28 01:01:02 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@septadad I'm??????","","","",""
"1067269923502735361","1067268535838261248","2930275347","2018-11-27 04:12:33 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@buzzkillary how could we forget the greatest work of investigative journalism the world has ever seen","","","",""
"1067265974787891200","1067262490831134721","730822664206458880","2018-11-27 03:56:51 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@keigholic omfg","","","",""
"1067265805870661632","1067264674750619648","94642268","2018-11-27 03:56:11 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@tooeffayy @nguyensomniac @nikhilrsethi @songofstephen i'm scared","","","",""
"1067265322154172416","1067262410413744128","730822664206458880","2018-11-27 03:54:16 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@keigholic yeah true i'm gonna mute it soon","","","",""
"1067246110081716224","1067245735140151296","2866231818","2018-11-27 02:37:55 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@nguyensomniac @songofstephen lol i wish, subtle asian dating","","","",""
"1067246050329747457","1067245906502844416","120550147","2018-11-27 02:37:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@hackNY just in time!","","","",""
"1067245671495999489","","","2018-11-27 02:36:11 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cracking open a cold one and scrolling thru SAD 🤠","","","",""
"1067244273408638976","1067243775494254592","2882172663","2018-11-27 02:30:37 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@songofstephen 😢😢 we need a numtinder/SAD crossover group","","","",""
"1067244031686713344","","","2018-11-27 02:29:40 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","subtle asian dating is really blowing tf up, last time i checked 5 hours ago the group was at 17,000 members, now it's at 30,000 ‼️🤯","","","",""
"1067110284928712705","1066780854050000899","1152657626","2018-11-26 17:38:12 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@yarnessa me last break","","","",""
"1066889153365909504","1066851912597807105","3612831135","2018-11-26 02:59:30 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@guerilllagirl 💚🐸💚","","","",""
"1066861475350884353","","","2018-11-26 01:09:31 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aksdflk the nytimes really on a new wave of content
https://t.co/4vQTVkXnr9","","","","https://www.youtube.com/watch?v=5gveNm9rVn4"
"1066781128789581824","1066777432378798081","1067113194","2018-11-25 19:50:15 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@get_sw1fty What was it","","","",""
"1066655829598842880","","","2018-11-25 11:32:21 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @shivering_gold: me: undergoes any minor embarassment

me, immediately locking myself in a room: 

⚪️─────────────
 0:01…","1066567994808127488","2421622553","2018-11-25 05:43:20 +0000",""
"1066452967929331713","","","2018-11-24 22:06:15 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @kobexamoh: hi @dinhkellie, thx for being patient -- hope u dig xx♌https://t.co/67tQwIUHT8","1066444989750665216","4645866625","2018-11-24 21:34:33 +0000","https://open.spotify.com/user/1286234476/playlist/2yXwSXh7H3UzyEhbymWT73?si=3ICH0abwSBCDOCNK2Eg5KQ,https://open.spotify.com/user/1286234476/playlist/2yXwSXh7H3UzyEhbymWT73?si=3ICH0abwSBCDOCNK2Eg5KQ"
"1066132150926352385","1066097925560958981","338042854","2018-11-24 00:51:27 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@stripedteesonly oh yeah that's definitely something i would do at 1 am on a week night","","","",""
"1066125141594316802","1066110315983601665","4645866625","2018-11-24 00:23:36 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@kobexamoh omg i'm so excited","","","",""
"1066075596936097797","1066055997930770433","338042854","2018-11-23 21:06:43 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@stripedteesonly ohm ygod that consumed a good month of my life junior year of hs","","","",""
"1065839337462525952","","","2018-11-23 05:27:55 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @rchlltrmn: by age 30 you should have:

-two types of rice in your pantry
-a daily spf 50
-heated blanket
-a TON of anxiety
-figured out…","1065462431722414080","89667757","2018-11-22 04:30:13 +0000",""
"1065799090976555008","1065796782586769408","4700086627","2018-11-23 02:47:59 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@ex_homestuck alskdjf;alskdjfa;","","","",""
"1065479844379721728","1064983686549028866","432963885","2018-11-22 05:39:25 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@br00kejensen sjskkfkfkfkf the hotel california rly got me","","","",""
"1065479282749779968","1065417123328081920","1067113194","2018-11-22 05:37:11 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@get_sw1fty relationship goals","","","",""
"1065278130942816257","","","2018-11-21 16:17:52 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @hackNY: Want to know what it takes to become a hackNY fellow? Our alumni will be answering all your questions on a Facebook livestream…","1065275487981895680","120550147","2018-11-21 16:07:22 +0000","https://twitter.com/hackNY/status/1065275487981895680/photo/1"
"1064918796543102976","1064778171654930433","2866231818","2018-11-20 16:30:00 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@nguyensomniac @songofstephen @ramifications_ @Chartbeat thank you!!","","","",""
"1064772110759931905","","","2018-11-20 06:47:08 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @jarvmiller: People who can get right back to work after lunch scare me","1064643801682083843","812816965144289281","2018-11-19 22:17:17 +0000",""
"1064769869705547781","1064765474603499522","2882172663","2018-11-20 06:38:14 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@songofstephen @ramifications_ I'm sure they exist 😩 my reference point is mostly ur circle lol and design twitter","","","",""
"1064764745666957312","1064757960604303360","3298915981","2018-11-20 06:17:52 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@ramifications_ good question! i guess i enjoy the creation process and being able to build ""something"" from ""nothing"" + helping solve big problems that have a large impact is fulfilling. i like the industry because it's closest to where innovation happens and feeling a part of that change","","","",""
"1064752818895167493","1064708894595796992","4645866625","2018-11-20 05:30:28 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@kobexamoh I could never....I rarely take selfies and don't like my photo taken that much 🙈","","","",""
"1064752299921281024","1064722469167206403","3298915981","2018-11-20 05:28:25 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@ramifications_ Still a student here, but the designers I've met are generally nicer, more thoughtful, and less bro-y and more artsy than the engineers I've met and I'd rather surround myself with that. Both work seems fun though.","","","",""
